"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C175,C174,C177,C176,C173,C172,C171,C170,C169,C168,C167,C164,C165,C166,C163,C162,C161,C160,C159,C158,C157,C156,C149,C143,C154,C147,C146,C142,C148,C145,C151,C150,C144,C153,C141,C140,C155,C152";"CAPAE660X800N";38;"UCM1H101MCL1GS";;;
2;"R127,R126,R125,R56,R66,R36,R46,R14,R4,R10,R26,R11,R23";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";13;"220";;;
3;"LED37,LED36,LED35,LED25,LED28,LED29,LED32,LED20,LED17,LED21,LED24,LED7,LED10,LED13,LED33,LED34,LED16,LED11,LED12,LED5,LED1";"LEDC3216X120N";21;"LTST-C230GKT";;;
4;"C40,C44,C86,C88,C95,C89,C92,C97,C106,C99,C100,C103,C73,C64,C66,C67,C70,C77,C84,C75,C78,C81,C38,C47,C9,C17,C3,C1,C6,C53,C10,C19,C55,C18,C20,C14,C62,C132,C5,C13,C50,C59,C52,C56,C34,C31,C32,C25,C41";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";49;"100nF";;;
5;"C126,C90,C130,C87,C94,C91,C96,C93,C105,C98,C101,C131,C102,C107,C104,C128,C65,C74,C68,C71,C72,C69,C83,C76,C129,C79,C80,C82,C85,C39,C42,C46,C48,C45,C43,C133,C57,C137,C138,C135,C54,C127,C134,C139,C136,C61,C58,C60,C33,C28,C63,C125,C27,C29,C124";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";55;"10uF";;;
6;"C4,C2,C16,C15,C24,C8,C12,C51,C11,C49,C22,C23,C21,C7";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";14;"1uF";;;
7;"TP9,TP7,TP39,TP38,TP37,TP36,TP26,TP14,TP32,TP31,TP4,TP22,TP30,TP20,TP21,TP8,TP33,TP24,TP18,TP35,TP3,TP6,TP17,TP23,TP15,TP16,TP19,TP2,TP10,TP11,TP28,TP25,TP29,TP12,TP13,TP5,TP34,TP1,TP27";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";39;"TestPoint";;;
8;"R99,R61,R60,R71,R70,R41,R40,R51,R50,R19,R18,R82,R115,R88,R5,R121,R31,R109,R113,R7,R6,R94,R124,R117,R107,R103,R105,R76,R111,R24,R101,R123,R119,R30";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";34;"1k";;;
9;"C112,C114,C118,C115,C111,C120,C123,C121,C116,C108,C122,C117,C113,C109,C119,C110";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";16;"10nF";;;
10;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
11;"IC11,IC12,IC9,IC10,IC7,IC8";"SOIC127P1032X265-16N";6;"ADUM4136BRWZ";;;
12;"R63,R55,R64,R65,R73,R74,R35,R43,R44,R45,R53,R54,R21,R13,R22,R1,R25,R3,R2,R33,R34,R8";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";22;"4.7k";;;
13;"LED27,LED26,LED30,LED31,LED18,LED19,LED23,LED22,LED8,LED9,LED15,LED14,LED3,LED6,LED4,LED2";"LEDC3216X120N";16;"LTST-C230CKT";;;
14;"R57,R62,R67,R72,R37,R42,R47,R52,R15,R20,R12,R27,R32";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";13;"0";;;
15;"FB5,FB6,FB3,FB4,FB1,FB2";"BEADC1608X100N";6;"FBMJ1608HS220NTR";;;
16;"D11,D13,D7,D9,D2,D5";"DIOM5226X244N";6;"FM2000GP-TP";;;
17;"J20,J14,J19,J13,J18,J12";"TBP01R150804BE";6;"TBP01R1-508-04BE";;;
18;"D10,D12,D6,D8,D1,D4";"SOD2513X120N";6;"BAT54WS-7-F";;;
19;"R59,R69,R39,R49,R17,R29";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";6;"6.8";;;
20;"J17,J9,J16,J8,J15,J7";"PinSocket_1x05_P2.54mm_Vertical";6;"Conn_01x05_Socket";;;
21;"PS11,PS12,PS9,PS10,PS5,PS8";"MGJ2D121509MPCR7";6;"MGJ2D121509MPC-R7";;;
22;"R58,R68,R38,R48,R16,R28";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";6;"9.1";;;
23;"R87,R81,R75,R93";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";4;"2k";;;
24;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
25;"R86,R77,R85,R97,R84,R78,R79,R92,R89,R83,R98,R80,R91,R96,R95,R90";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";16;"250k";;;
26;"J22,J27";"1987724";2;"1987724";;;
27;"J24,J26,J28";"SHDR6W80P0X381_1X6_2365X920X720P";3;"TBP02R1-381-06BE";;;
28;"R114,R102,R120,R108,R106,R118,R104,R122,R112,R116,R110,R100";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";12;"5k";;;
29;"Z3,Z4,Z1,Z2,Z12,Z10,Z13,Z6,Z7,Z16,Z14,Z15,Z9,Z11,Z8,Z5";"SOD3716X135N";16;"SZMMSZ4678T1G";;;
30;"J6,J4,J5";"TBP02R138102BE";3;"TBP02R1-381-02BE";;;
31;"PS1,PS13,PS14,PS4,PS2,PS3";"RKE1205SH";6;"RKE-1205S_H";;;
32;"F1";"MFRHT200322";1;"MF-RHT200_32-2";;;
33;"K1,K2,K3";"AWHSH105D00G";3;"AWHSH105D00G";;;
34;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
35;"PS7";"NSD1512S12";1;"NSD15-12S12";;;
36;"IC6";"SOIC127P1150X280-8N";1;"ISO1042BDWVR";;;
37;"IC3,IC2,IC4,IC1";"SOIC127P1032X265-16N";4;"MAX22530AWE+";;;
38;"FL1";"ACT45B1012PTL003";1;"ACT45B-101-2P-TL003";;;
39;"IC14,IC13";"SOT65P210X110-6N";2;"DRDNB21D-7";;;
40;"J10,J11";"1548129";2;"1548129";;;
41;"J25";"SHDR8W100P0X508_1X8_4224X1200X890P";1;"TBP01R1-508-08BE";;;
42;"J29";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
43;"PS6";"RD712S033R";1;"RD7-12S033R";;;
44;"IC5";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
45;"C36,C35,C26,C30,C37";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"22pF";;;
46;"J2,J3,J1,J21";"PinSocket_1x02_P2.54mm_Vertical";4;"Conn_01x02_Socket";;;
47;"D3";"DIOM8059X265N";1;"S3N";;;
48;"R9";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
